ID,Target,stat_mean,stat_std,stat_variance,stat_median,stat_min,stat_max,stat_range,stat_skewness,stat_kurtosis,stat_energy,stat_rms,stat_p10,stat_p25,stat_p75,stat_p90,stat_iqr,glcm_contrast_d1_a0,glcm_contrast_d1_a45,glcm_contrast_d1_a90,glcm_contrast_d1_a135,glcm_contrast_d3_a0,glcm_contrast_d3_a45,glcm_contrast_d3_a90,glcm_contrast_d3_a135,glcm_contrast_d5_a0,glcm_contrast_d5_a45,glcm_contrast_d5_a90,glcm_contrast_d5_a135,glcm_dissimilarity_d1_a0,glcm_dissimilarity_d1_a45,glcm_dissimilarity_d1_a90,glcm_dissimilarity_d1_a135,glcm_dissimilarity_d3_a0,glcm_dissimilarity_d3_a45,glcm_dissimilarity_d3_a90,glcm_dissimilarity_d3_a135,glcm_dissimilarity_d5_a0,glcm_dissimilarity_d5_a45,glcm_dissimilarity_d5_a90,glcm_dissimilarity_d5_a135,glcm_homogeneity_d1_a0,glcm_homogeneity_d1_a45,glcm_homogeneity_d1_a90,glcm_homogeneity_d1_a135,glcm_homogeneity_d3_a0,glcm_homogeneity_d3_a45,glcm_homogeneity_d3_a90,glcm_homogeneity_d3_a135,glcm_homogeneity_d5_a0,glcm_homogeneity_d5_a45,glcm_homogeneity_d5_a90,glcm_homogeneity_d5_a135,glcm_energy_d1_a0,glcm_energy_d1_a45,glcm_energy_d1_a90,glcm_energy_d1_a135,glcm_energy_d3_a0,glcm_energy_d3_a45,glcm_energy_d3_a90,glcm_energy_d3_a135,glcm_energy_d5_a0,glcm_energy_d5_a45,glcm_energy_d5_a90,glcm_energy_d5_a135,glcm_correlation_d1_a0,glcm_correlation_d1_a45,glcm_correlation_d1_a90,glcm_correlation_d1_a135,glcm_correlation_d3_a0,glcm_correlation_d3_a45,glcm_correlation_d3_a90,glcm_correlation_d3_a135,glcm_correlation_d5_a0,glcm_correlation_d5_a45,glcm_correlation_d5_a90,glcm_correlation_d5_a135,glcm_ASM_d1_a0,glcm_ASM_d1_a45,glcm_ASM_d1_a90,glcm_ASM_d1_a135,glcm_ASM_d3_a0,glcm_ASM_d3_a45,glcm_ASM_d3_a90,glcm_ASM_d3_a135,glcm_ASM_d5_a0,glcm_ASM_d5_a45,glcm_ASM_d5_a90,glcm_ASM_d5_a135,fft_mean_magnitude,fft_std_magnitude,fft_max_magnitude,fft_min_magnitude,fft_dc_magnitude,fft_mean_magnitude_no_dc,fft_std_magnitude_no_dc,fft_spectral_energy,fft_mag_p10,fft_mag_p25,fft_mag_p50,fft_mag_p75,fft_mag_p90
0,0,-3.869953381299077,15.390044607205128,236.85347301176364,0.24297313580528815,-60.06369564417617,35.16864733554702,95.2323429797232,-1.802965672001034,2.3723317844270078,870324.5221120226,15.869152850268716,-35.44569468698067,-2.8498854270636604,3.583116881649984,7.80525030696089,6.433002308713645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.5437755615242,875.0108270229671,19099.601645064173,7.44645904176098,13374.558885769608,319.67382218022516,846.388947317568,3007841548.419151,82.93194241035712,135.42393083261706,217.38942389411667,323.833783340429,477.7187204214424
1,0,-3.665837693938633,15.280552559797966,233.49528653274817,0.14835156854777554,-59.162243864362736,32.08628105389872,91.24852491826147,-1.793593345027373,2.4462729481193213,853402.703147307,15.714122709558096,-34.854543700340614,-2.7449855242776526,3.6306108520151463,8.181491639766511,6.375596376292799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.40106096700947,861.9235684301211,18734.97208169025,4.043500467736957,12669.13507025192,328.7352232730708,835.9981239433388,2949359742.0770936,86.2850189034362,146.5306208682396,224.03046592918434,337.95780357270934,491.17812852139843
10,2,-4.689862035879759,17.00632603419409,289.2151251813076,0.30970739927377755,-62.95600661874271,31.79278156006392,94.74878817880663,-1.9158927818062716,2.440199710833041,1075541.521870865,17.64114313464107,-41.2391158072529,-2.4339057880548647,3.400259664828331,6.831930309499458,5.834165452883196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.98248570639635,979.0758404439053,22054.372064405874,12.23276253383575,16208.163196000456,337.2926236705166,941.1488504184969,3717071499.5857096,91.5133408471079,159.85639937227197,248.7121326240504,345.020793673949,443.0843223978923
100,0,-3.6576778657119116,16.489983707140187,271.9195626617488,0.6473677987351468,-61.45332629412442,41.60330555378656,103.05663184791098,-1.7767955704238017,2.3000681320540055,985990.4756273697,16.89077174172535,-37.72516526021972,-3.0955854504996516,4.699400079483634,8.96160496456288,7.794985529983285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.05501430664924,926.553933878567,19641.325169948086,7.619594935761391,12640.934703900368,353.39733644093735,902.6983611126446,3407583083.768189,89.36352942811013,153.8419843044853,250.06115853709576,352.6957517943154,531.4508734631827
1000,0,-3.8076906126836083,15.991054240157549,255.71381571166071,0.3652107929285749,-57.93795874941811,40.9490590551431,98.88701780456121,-1.8204108193742832,2.3729360415123546,933853.7900629311,16.438136254258865,-36.93917532289857,-2.9067770958490957,4.3192391585211185,8.2371299229667,7.226016254370214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.03330329663703,906.4251076316646,20023.97563321393,5.286731460999671,13159.378757434546,331.22561268395344,879.7934647413784,3227398698.4574895,85.9856642237542,137.75457467039297,214.30306573578574,336.1012868996653,491.8738572709701
1001,0,-3.7739457614546104,16.241319154904307,263.78044789146156,0.5711739267980087,-59.22562552922759,51.98335115514002,111.20897668436761,-1.7853587157392008,2.299162135014315,960847.8837184379,16.67402514397357,-37.6190011540054,-2.9046965472390043,4.307525799797226,8.535263913493253,7.21222234703623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.1667681123813,917.4463395258011,20588.546427954156,3.661556880757103,13042.756551587136,341.3928223509266,891.6704373030204,3320690286.1309204,96.82700362090858,152.92120900014882,237.16075533109014,346.74660943709335,492.1615983583558
1002,0,-3.7112462395793124,15.935626321645236,253.94418626311247,0.5672899631146938,-58.153383773904665,43.40707715189681,101.56046092580146,-1.8029717081674732,2.3593426446502654,925231.8006624522,16.362076118693007,-36.903246613949435,-2.996985316575364,4.163465444399694,8.262710093191954,7.160450760975058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.3893926354001,898.8889277731782,19519.402018422945,0.8447917141314617,12826.067003986102,338.6781463958207,873.4576239745163,3197601103.0894346,85.23175324374526,147.88655101820646,233.99788943670933,351.0027367205398,508.0267015907274
1003,2,-4.300435059116864,18.20137087705955,331.2899018042715,0.8283242597381335,-64.34891923720193,36.9644859596443,101.31340519684622,-1.868490950885806,2.3236203746802175,1208852.2719427492,18.702503669347397,-43.19947648262223,-2.4937264399211654,4.5633853742840484,8.828373072742318,7.057111814205214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.7882025388733,1032.5349127100724,23437.187253114906,2.8639713706725876,14862.303564307878,373.4877674797565,1002.7186984287017,4177793451.8341417,108.55060403991422,173.71772960561606,274.3640386660418,390.2535224594304,507.3386005853654
1004,0,-3.817033019973814,16.25220563204163,264.1341879061657,0.5341191099268368,-60.77552421927094,34.81977418977589,95.59529840904683,-1.8136527613629858,2.3540530405752733,963200.7785608801,16.694428081900146,-37.24255023592015,-3.105168313873018,4.330618193625207,8.536936581057196,7.435786507498225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.19803450332176,919.0911225797634,19615.619310753616,0.007118191161907816,13191.666117029501,340.3810014833479,892.7421392725347,3328821890.7064,85.91362124728718,146.1451278318607,235.88395639419556,347.93890549368706,496.17422549097125
1005,0,-3.8138562221570727,15.314271656967122,234.52691638338655,0.18187831821846534,-57.50648220320805,27.97894000637524,85.48542220958329,-1.8172837302515594,2.418391365900429,860794.2685440213,15.782028249457445,-35.249572380244075,-2.817978624260809,3.635122838770491,7.781552157302043,6.4531014630313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.61828217945646,870.9985202287513,19437.942147089165,7.839676718018627,13180.687103774842,315.8044259572994,843.0851603288748,2974904992.0881376,77.48029256389437,132.50782340126915,216.61102349952262,321.05557013977705,474.9445895701147
